'CAUSE 1.0	K AH Z
ESTIMATE 1.0	EH S T AH M EY T
ESTIMATED 1.0	EH S T AH M EY T AH D
ESTIMATED 1.0	EH S T AH M EY T IH D
ESTIMATES 1.0	EH S T AH M AH T S
ESTIMATES 1.0	EH S T AH M EY T S
ESTIMATING 1.0	EH S T AH M EY T IH NG
ESTIMATION 1.0	EH S T AH M EY SH AH N
ESTIMATIONS 1.0	EH S T AH M EY SH AH N Z
ESTIMATOR 1.0	EH S T IH M AH T ER
ESTIMATOR 1.0	EH S T IH M EY T ER
ESTIMATORS 1.0	EH S T IH M AH T ER Z
ESTIMATORS 1.0	EH S T IH M EY T ER Z
ESTONIA 1.0	EH S T OW N IY AH
ESTONIAN 1.0	EH S T OW N IY AH N
ESTONIANS 1.0	EH S T OW N IY AH N Z
ESTRANGED 1.0	EH S T R EY N JH D
ESTRANGEMENT 1.0	IH S T R EY N JH M AH N T
ESTROGEN 1.0	EH S T R AH JH AH N
ESTUARIES 1.0	EH S CH UW EH R IY Z
ESTUARY 1.0	EH S CH UW EH R IY
ET 1.0	EH T
ETCETERA 1.0	EH T S EH T ER AH
ETCH 1.0	EH CH
ETCHED 1.0	EH CH T
ETCHING 1.0	EH CH IH NG
ETCHINGS 1.0	EH CH IH NG Z
ETERNAL 1.0	IH T ER N AH L
ETERNAL 1.0	IY T ER N AH L
ETERNALLY 1.0	IH T ER N AH L IY
ETERNALLY 1.0	IY T ER N AH L IY
ETERNITY 1.0	IH T ER N AH T IY
ETERNITY 1.0	IY T ER N AH T IY
ETHAN 1.0	IY TH AH N
ETHANOL 1.0	EH TH AH N AO L
ETHEL 1.0	EH TH AH L
ETHER 1.0	IY TH ER
ETHEREAL 1.0	IH TH IH R IY AH L
ETHERNET 1.0	IY TH ER N EH T
ETHIC 1.0	EH TH IH K
ETHICAL 1.0	EH TH IH K AH L
ETHICALLY 1.0	EH TH IH K AH L IY
ETHICIST 1.0	EH TH IH S IH S T
ETHICISTS 1.0	EH TH IH S IH S T S
ETHICS 1.0	EH TH IH K S
ETHIOPIA 1.0	IY TH IY OW P IY AH
ETHIOPIA'S 1.0	IY TH IY OW P IY AH Z
ETHIOPIAN 1.0	IY TH IY OW P IY AH N
ETHIOPIANS 1.0	IY TH IY OW P IY AH N Z
ETHNIC 1.0	EH TH N IH K
ETHNICALLY 1.0	EH TH N IH K L IY
ETHNICITY 1.0	EH TH N IH S IH T IY
ETHNICS 1.0	EH TH N IH K S
ETHNOGRAPHIC 1.0	EH TH N AH G R AE F IH K
ETHOS 1.0	IY TH AA S
ETHYL 1.0	EH TH AH L
ETHYLENE 1.0	EH TH AH L IY N
ETIOLOGY 1.0	IY T IY AA L AH JH IY
ETIQUETTE 1.0	EH T AH K AH T
ETTA 1.0	EH T AH
ETYMOLOGICAL 1.0	EH T AH M AH L AA JH AH K AH L
ETYMOLOGY 1.0	EH T AH M AA L AH JH IY
ETYMOLOGY 1.0	EH T IH M AA L AH JH IY
EUCALYPTUS 1.0	Y UW K AH L IH P T AH S
EUCHARIST 1.0	Y UW K ER AH S T
EUCHRE 1.0	Y UW K ER
EUCLID 1.0	Y UW K L IH D
EUDORA 1.0	Y UW D AO R AH
EUGENE 1.0	Y UW JH IY N
EUGENIA 1.0	Y UW JH IY N IY AH
EUGENICS 1.0	Y UW JH EH N IH K S
EULER 1.0	OY L ER
EULOGY 1.0	Y UW L AH JH IY
EUNICE 1.0	Y UW N AH S
EUNICE 1.0	Y UW N IH S
EUPHEMISM 1.0	Y UW F AH M IH Z AH M
EUPHEMISMS 1.0	Y UW F AH M IH Z AH M Z
EUPHEMISTICALLY 1.0	Y UW F AH M IH S T IH K L IY
EUPHORIA 1.0	Y UW F AO R IY AH
EUPHORIC 1.0	Y UW F AO R IH K
EUPHRATES 1.0	Y UW F R EY T IY Z
EURASIA 1.0	Y UH R EY ZH AH
EURASIAN 1.0	Y UH R EY ZH IH N
EUREKA 1.0	Y UH R IY K AH
EURO 1.0	Y UH R AH
EURO 1.0	Y UH R OW
EURO 1.0	Y UW R OW
EURODISNEY 1.0	Y UH R OW D IH Z N IY
EURODISNEY 1.0	Y UW R OW D IH Z N IY
EURODOLLAR 1.0	Y UH R OW D AO L ER
EURODOLLAR 1.0	Y UW R OW D AA L ER
EUROPA 1.0	Y UH R OW P AH
EUROPE 1.0	Y UH R AH P
EUROPE'S 1.0	Y UH R AH P S
EUROPEAN 1.0	Y UH R AH P IY AH N
EUROPEANS 1.0	Y UH R AH P IY AH N Z
EUROS 1.0	Y UW R OW Z
EUROTUNNEL 1.0	Y UW R OW T AH N AH L
EUSTACE 1.0	Y UW S T AH S
EUTHANASIA 1.0	Y UW TH AH N EY ZH AH
EUTHANASIA 1.0	Y UW TH AH N EY ZH Y AH
EUTHANIZE 1.0	Y UW TH AH N AY Z
EVA 1.0	EY V AH
EVA 1.0	IY V AH
EVA'S 1.0	EY V AH Z
EVA'S 1.0	IY V AH Z
EVACUATE 1.0	IH V AE K Y AH EY T
EVACUATE 1.0	IY V AE K Y AH EY T
EVACUATED 1.0	IH V AE K Y AH W EY T IH D
EVACUATED 1.0	IY V AE K Y AH W EY T IH D
EVACUATING 1.0	IH V AE K Y AH W EY T IH NG
EVACUATING 1.0	IY V AE K Y AH W EY T IH NG
EVACUATION 1.0	IH V AE K Y AH W EY SH AH N
EVACUATION 1.0	IY V AE K Y AH W EY SH AH N
EVACUATIONS 1.0	IH V AE K Y AH W EY SH AH N Z
EVACUATIONS 1.0	IY V AE K Y AH W EY SH AH N Z
EVACUEES 1.0	IH V AE K Y UW IY Z
EVACUEES 1.0	IY V AE K Y UW IY Z
EVADE 1.0	IH V EY D
EVADE 1.0	IY V EY D
EVADED 1.0	IH V EY D IH D
EVADED 1.0	IY V EY D IH D
EVADING 1.0	IH V EY D IH NG
EVADING 1.0	IY V EY D IH NG
EVALUATE 1.0	IH V AE L Y UW EY T
EVALUATE 1.0	IY V AE L Y UW EY T
EVALUATED 1.0	IH V AE L Y UW EY T AH D
EVALUATED 1.0	IY V AE L Y UW EY T AH D
EVALUATES 1.0	IH V AE L Y UW EY T S
EVALUATES 1.0	IY V AE L Y UW EY T S
EVALUATING 1.0	IH V AE L Y UW EY T IH NG
EVALUATING 1.0	IY V AE L Y UW EY T IH NG
EVALUATION 1.0	IH V AE L Y UW EY SH AH N
EVALUATION 1.0	IY V AE L Y UW EY SH AH N
EVALUATIONS 1.0	IH V AE L Y UW EY SH AH N Z
EVALUATIONS 1.0	IY V AE L Y UW EY SH AH N Z
EVAN 1.0	EH V AH N
EVANDER 1.0	IY V AE N D ER
EVANESCENCE 1.0	EH V AH N EH S AH N S
EVANGELICAL 1.0	IY V AE N JH EH L IH K AH L
EVANGELICALS 1.0	IY V AE N JH EH L IH K AH L Z
EVANGELISM 1.0	IH V AE N JH AH L IH Z AH M
EVANGELISM 1.0	IY V AE N JH AH L IH Z AH M
EVANGELIST 1.0	IH V AE N JH AH L IH S T
EVANGELIST 1.0	IY V AE N JH AH L IH S T
EVANGELISTIC 1.0	IY V AE N JH AH L IH S T IH K
EVANGELISTS 1.0	IH V AE N JH AH L IH S
EVANGELISTS 1.0	IH V AE N JH AH L IH S T S
EVANGELISTS 1.0	IY V AE N JH AH L IH S
EVANGELISTS 1.0	IY V AE N JH AH L IH S T S
EVANS 1.0	EH V AH N Z
EVANSTON 1.0	EH V AH N S T AH N
EVANSVILLE 1.0	EH V AH N Z V IH L
EVAPORATE 1.0	IH V AE P ER EY T
EVAPORATED 1.0	IH V AE P ER EY T AH D
EVAPORATED 1.0	IH V AE P ER EY T IH D
EVAPORATED 1.0	IY V AE P ER EY T AH D
EVAPORATED 1.0	IY V AE P ER EY T IH D
EVAPORATES 1.0	IH V AE P ER EY T S
EVAPORATES 1.0	IY V AE P ER EY T S
EVAPORATING 1.0	IH V AE P ER EY T IH NG
EVAPORATING 1.0	IY V AE P ER EY T IH NG
EVAPORATION 1.0	IH V AE P ER EY SH AH N
EVAPORATION 1.0	IY V AE P ER EY SH AH N
EVAPORATOR 1.0	IH V AE P ER EY T ER
EVAPORATOR 1.0	IY V AE P ER EY T ER
EVASION 1.0	IH V EY ZH AH N
EVASION 1.0	IY V EY ZH AH N
EVASIVE 1.0	IH V EY Z IH V
EVASIVE 1.0	IY V EY Z IH V
EVE 1.0	IY V
EVELYN 1.0	EH V AH L AH N
EVELYN 1.0	EH V AH L IH N
EVEN 1.0	IY V IH N
EVENED 1.0	IY V AH N D
EVENHANDED 1.0	IY V AH N HH AE N D IH D
EVENING 1.0	IY V N IH NG
EVENING'S 1.0	IY V N IH NG Z
EVENINGS 1.0	IY V N IH NG Z
EVENLY 1.0	IY V AH N L IY
EVENS 1.0	IY V AH N Z
EVENT 1.0	IH V EH N T
EVENT 1.0	IY V EH N T
EVENT'S 1.0	IH V EH N T S
EVENT'S 1.0	IY V EH N T S
EVENTFUL 1.0	IH V EH N T F AH L
EVENTFUL 1.0	IY V EH N T F AH L
EVENTS 1.0	IH V EH N T S
EVENTS 1.0	IY V EH N T S
EVENTUAL 1.0	AH V EH N CH UW AH L
EVENTUAL 1.0	IY V EH N CH UW AH L
EVENTUALITY 1.0	AH V EH N CH UW AE L IH T IY
EVENTUALITY 1.0	IY V EH N CH UW AE L IH T IY
EVENTUALLY 1.0	IH V EH N CH AH W AH L IY
EVENTUALLY 1.0	IH V EH N SH AH L IY
EVENTUALLY 1.0	IY V EH N CH AH W AH L IY
EVENTUALLY 1.0	IY V EH N SH AH L IY
EVER 1.0	EH V ER
EVEREST 1.0	EH V ER AH S T
EVEREST 1.0	EH V R AH S T
EVERETT 1.0	EH V ER AH T
EVERETT 1.0	EH V R AH T
EVERGLADES 1.0	EH V ER G L EY D Z
EVERGREEN 1.0	EH V ER G R IY N
EVERGREENS 1.0	EH V ER G R IY N Z
EVERLASTING 1.0	EH V ER L AE S T IH NG
EVERMORE 1.0	EH V ER M AO R
EVERT 1.0	IH V ER T
EVERY 1.0	EH V ER IY
EVERY 1.0	EH V R IY
EVERYBODY 1.0	EH V R IY B AA D IY
EVERYBODY'S 1.0	EH V R IY B AA D IY Z
EVERYDAY 1.0	EH V R IY D EY
EVERYMAN 1.0	EH V R IY M AH N
EVERYONE 1.0	EH V R IY W AH N
EVERYONE'S 1.0	EH V R IY W AH N Z
EVERYPLACE 1.0	EH V R IY P L EY S
EVERYTHING 1.0	EH V R IY TH IH NG
EVERYTHING'S 1.0	EH V R IY TH IH NG Z
EVERYTHINGS 1.0	EH V R IY TH IH NG Z
EVERYTIME 1.0	EH V R IY T AY M
EVERYWHERE 1.0	EH V R IY HH W EH R
EVERYWHERE 1.0	EH V R IY W EH R
EVES 1.0	IY V Z
EVIAN 1.0	EH V IY AH N
EVICT 1.0	IH V IH K T
EVICTED 1.0	IH V IH K T IH D
EVICTING 1.0	IH V IH K T IH NG
EVICTION 1.0	IH V IH K SH AH N
EVICTIONS 1.0	IH V IH K SH AH N Z
EVIDENCE 1.0	EH V AH D AH N S
EVIDENCED 1.0	EH V IH D AH N S T
EVIDENCES 1.0	EH V AH D AH N S AH Z
EVIDENT 1.0	EH V AH D AH N T
EVIDENTLY 1.0	EH V AH D AH N T L IY
EVIL 1.0	IY V AH L
EVILDOERS 1.0	IY V AH L D UW ER Z
EVILS 1.0	IY V AH L Z
EVINCED 1.0	IH V IH N S T
EVOCATION 1.0	IY V OW K EY SH AH N
EVOCATIVE 1.0	IH V AA K AH T IH V
EVOKE 1.0	IH V OW K
EVOKE 1.0	IY V OW K
EVOKED 1.0	IH V OW K T
EVOKED 1.0	IY V OW K T
EVOKES 1.0	IH V OW K S
EVOKES 1.0	IY V OW K S
EVOKING 1.0	IH V OW K IH NG
EVOKING 1.0	IY V OW K IH NG
EVOLUTION 1.0	EH V AH L UW SH AH N
EVOLUTION 1.0	EH V OW L UW SH AH N
EVOLUTION 1.0	IY V AH L UW SH AH N
EVOLUTION 1.0	IY V OW L UW SH AH N
EVOLUTIONARY 1.0	EH V AH L UW SH AH N EH R IY
EVOLUTIONARY 1.0	EH V OW L UW SH AH N EH R IY
EVOLUTIONARY 1.0	IY V AH L UW SH AH N EH R IY
EVOLUTIONARY 1.0	IY V OW L UW SH AH N EH R IY
EVOLVE 1.0	IH V AA L V
EVOLVE 1.0	IY V AA L V
EVOLVED 1.0	IH V AA L V D
EVOLVED 1.0	IY V AA L V D
EVOLVES 1.0	IH V AA L V Z
EVOLVES 1.0	IY V AA L V Z
EVOLVING 1.0	IH V AA L V IH NG
EVOLVING 1.0	IY V AA L V IH NG
EWAN 1.0	Y UW AH N
EWEN 1.0	Y UW AH N
EWES 1.0	Y UW Z
EWING 1.0	Y UW IH NG
EWING'S 1.0	Y UW IH NG Z
EX 1.0	EH K S
EXACERBATE 1.0	IH G Z AE S ER B EY T
EXACERBATED 1.0	IH G Z AE S ER B EY T AH D
EXACERBATED 1.0	IH G Z AE S ER B EY T IH D
EXACERBATES 1.0	IH G Z AE S ER B EY T S
EXACERBATING 1.0	IH G Z AE S ER B EY T IH NG
EXACT 1.0	IH G Z AE K T
EXACTED 1.0	IH G Z AE K T IH D
EXACTING 1.0	IH G Z AE K T IH NG
EXACTLY 1.0	IH G Z AE K T L IY
EXAGGERATE 1.0	IH G Z AE JH ER EY T
EXAGGERATED 1.0	IH G Z AE JH ER EY T AH D
EXAGGERATED 1.0	IH G Z AE JH ER EY T IH D
EXAGGERATES 1.0	IH G Z AE JH ER EY T S
EXAGGERATING 1.0	IH G Z AE JH ER EY T IH NG
EXAGGERATION 1.0	IH G Z AE JH ER EY SH AH N
EXAGGERATIONS 1.0	IH G Z AE JH ER EY SH AH N Z
EXALT 1.0	IH G Z AO L T
EXALTED 1.0	IH G Z AO L T IH D
EXAM 1.0	IH G Z AE M
EXAMINATION 1.0	IH G Z AE M AH N EY SH AH N
EXAMINATIONS 1.0	IH G Z AE M AH N EY SH AH N Z
EXAMINE 1.0	IH G Z AE M IH N
EXAMINED 1.0	IH G Z AE M AH N D
EXAMINER 1.0	IH G Z AE M AH N ER
EXAMINERS 1.0	IH G Z AE M IH N ER Z
EXAMINES 1.0	IH G Z AE M AH N Z
EXAMINING 1.0	IH G Z AE M IH N IH NG
EXAMPLE 1.0	IH G Z AE M P AH L
EXAMPLES 1.0	IH G Z AE M P AH L Z
EXAMS 1.0	IH G Z AE M Z
EXASPERATED 1.0	IH G Z AE S P ER EY T IH D
EXASPERATING 1.0	IH G Z AE S P ER EY T IH NG
EXASPERATION 1.0	EH K S AE S P ER EY SH AH N
EXCALIBUR 1.0	EH K S K AE L AH B ER
EXCAVATE 1.0	EH K S K AH V EY T
EXCAVATED 1.0	EH K S K AH V EY T IH D
EXCAVATING 1.0	EH K S K AH V EY T IH NG
EXCAVATION 1.0	EH K S K AH V EY SH AH N
EXCAVATIONS 1.0	EH K S K AH V EY SH AH N Z
EXCAVATOR 1.0	EH K S K AH V EY T ER
EXCAVATORS 1.0	EH K S K AH V EY T ER Z
EXCEED 1.0	IH K S IY D
EXCEEDED 1.0	IH K S IY D AH D
EXCEEDED 1.0	IH K S IY D IH D
EXCEEDING 1.0	IH K S IY D IH NG
EXCEEDINGLY 1.0	IH K S IY D IH NG L IY
EXCEEDS 1.0	IH K S IY D Z
EXCEL 1.0	IH K S EH L
EXCELLED 1.0	IH K S EH L D
EXCELLENCE 1.0	EH K S AH L AH N S
EXCELLENCY 1.0	EH K S L EH N S IY
EXCELLENT 1.0	EH K S AH L AH N T
EXCELLENTLY 1.0	EH K S AH L AH N T L IY
EXCELLING 1.0	EH K S EH L IH NG
EXCELS 1.0	IH K S EH L Z
EXCELSIOR 1.0	IH K S EH L S IY ER
EXCEPT 1.0	IH K S EH P T
EXCEPTED 1.0	IH K S EH P T IH D
EXCEPTING 1.0	EH K S EH P T IH NG
EXCEPTION 1.0	IH K S EH P SH AH N
EXCEPTIONAL 1.0	IH K S EH P SH AH N AH L
EXCEPTIONALLY 1.0	IH K S EH P SH AH N AH L IY
EXCEPTIONALLY 1.0	IH K S EH P SH N AH L IY
EXCEPTIONS 1.0	IH K S EH P SH AH N Z
EXCERPT 1.0	EH K S ER P T
EXCERPTED 1.0	EH K S ER P T IH D
EXCERPTS 1.0	EH K S ER P T S
EXCESS 1.0	EH K S EH S
EXCESS 1.0	IH K S EH S
EXCESSES 1.0	EH K S EH S IH Z
EXCESSES 1.0	IH K S EH S IH Z
EXCESSIVE 1.0	IH K S EH S IH V
EXCESSIVELY 1.0	IH K S EH S IH V L IY
EXCHANGE 1.0	IH K S CH EY N JH
EXCHANGEABLE 1.0	IH K S CH EY N JH AH B AH L
EXCHANGED 1.0	IH K S CH EY N JH D
EXCHANGER 1.0	IH K S CH EY N JH ER
EXCHANGES 1.0	IH K S CH EY N JH AH Z
EXCHANGES 1.0	IH K S CH EY N JH IH Z
EXCHANGING 1.0	IH K S CH EY N JH IH NG
EXCHEQUER 1.0	EH K S CH EH K ER
EXCISE 1.0	EH K S AY S
EXCISE 1.0	EH K S AY Z
EXCISED 1.0	EH K S AY Z D
EXCISION 1.0	IH K S IH ZH AH N
EXCITABLE 1.0	IH K S AY T AH B AH L
EXCITATION 1.0	EH K S AY T EY SH AH N
EXCITE 1.0	IH K S AY T
EXCITED 1.0	IH K S AY T AH D
EXCITED 1.0	IH K S AY T IH D
EXCITEDLY 1.0	IH K S AY T AH D L IY
EXCITEMENT 1.0	IH K S AY T M AH N T
EXCITES 1.0	IH K S AY T S
EXCITING 1.0	IH K S AY T IH NG
EXCLAIM 1.0	IH K S K L EY M
EXCLAIMED 1.0	IH K S K L EY M D
EXCLAIMING 1.0	IH K S K L EY M IH NG
EXCLAIMS 1.0	IH K S K L EY M Z
EXCLAMATION 1.0	EH K S K L AH M EY SH AH N
EXCLAMATIONS 1.0	EH K S K L AH M EY SH AH N Z
EXCLUDE 1.0	IH K S K L UW D
EXCLUDED 1.0	IH K S K L UW D AH D
EXCLUDED 1.0	IH K S K L UW D IH D
EXCLUDES 1.0	IH K S K L UW D Z
EXCLUDING 1.0	IH K S K L UW D IH NG
EXCLUSION 1.0	IH K S K L UW ZH AH N
EXCLUSIONARY 1.0	IH K S K L UW ZH AH N EH R IY
EXCLUSIONS 1.0	IH K S K L UW ZH AH N Z
EXCLUSIVE 1.0	IH K S K L UW S IH V
EXCLUSIVELY 1.0	IH K S K L UW S IH V L IY
EXCLUSIVES 1.0	IH K S K L UW S IH V Z
EXCLUSIVITY 1.0	EH K S K L UW S IH V AH T IY
EXCOMMUNICATED 1.0	EH K S K AH M Y UW N AH K EY T AH D
EXCOMMUNICATION 1.0	EH K S K AH M Y UW N AH K EY SH AH N
EXCREMENT 1.0	EH K S K R AH M AH N T
EXCRETION 1.0	IH K S K R IY SH AH N
EXCRUCIATING 1.0	IH K S K R UW SH IY EY T IH NG
EXCRUCIATINGLY 1.0	EH K S K R UW S IY EY T IH NG L IY
EXCULPATORY 1.0	EH K S K AH L P AH T AO R IY
EXCURSION 1.0	IH K S K ER ZH AH N
EXCURSIONS 1.0	IH K S K ER ZH AH N Z
EXCUSABLE 1.0	IH K S K Y UW Z AH B AH L
EXCUSE 1.0	IH K S K Y UW S
EXCUSE 1.0	IH K S K Y UW Z
EXCUSED 1.0	IH K S K Y UW Z D
EXCUSES 1.0	IH K S K Y UW S IH Z
EXCUSES 1.0	IH K S K Y UW Z IH Z
EXCUSING 1.0	IH K S K Y UW Z IH NG
EXEC 1.0	EH G Z EH K
EXECS 1.0	EH G Z EH K S
EXECUTE 1.0	EH K S AH K Y UW T
EXECUTED 1.0	EH K S AH K Y UW T AH D
EXECUTED 1.0	EH K S AH K Y UW T IH D
EXECUTES 1.0	EH K S AH K Y UW T S
EXECUTING 1.0	EH K S AH K Y UW T IH NG
EXECUTION 1.0	EH K S AH K Y UW SH AH N
EXECUTIONER 1.0	EH K S AH K Y UW SH AH N ER
EXECUTIONERS 1.0	EH K S AH K Y UW SH AH N ER Z
EXECUTIONS 1.0	EH K S AH K Y UW SH AH N Z
EXECUTIVE 1.0	IH G Z EH K Y AH T IH V
EXECUTIVE'S 1.0	EH G Z EH K Y AH T IH V Z
EXECUTIVES 1.0	IH G Z EH K Y AH T IH V Z
EXECUTOR 1.0	IH G Z EH K Y AH T ER
EXECUTORS 1.0	IH G Z EH K Y AH T ER Z
EXEMPLAR 1.0	IH G Z EH M P L AA R
EXEMPLARS 1.0	IH G Z EH M P L AA R Z
EXEMPLARY 1.0	IH G Z EH M P L ER IY
EXEMPLIFIED 1.0	IH G Z EH M P L AH F AY D
EXEMPLIFIES 1.0	IH G Z EH M P L AH F AY Z
EXEMPLIFY 1.0	IH G Z EH M P L AH F AY
EXEMPT 1.0	IH G Z EH M P T
EXEMPTED 1.0	IH G Z EH M P T IH D
EXEMPTING 1.0	IH G Z EH M P T IH NG
EXEMPTION 1.0	IH G Z EH M P SH AH N
EXEMPTION 1.0	IH G Z EH M SH AH N
EXEMPTIONS 1.0	IH G Z EH M P SH AH N Z
EXEMPTIONS 1.0	IH G Z EH M SH AH N Z
EXEMPTS 1.0	IH G Z EH M P T S
EXERCISE 1.0	EH K S ER S AY Z
EXERCISED 1.0	EH K S ER S AY Z D
EXERCISER 1.0	EH K S ER S AY Z ER
EXERCISERS 1.0	EH K S ER S AY Z ER Z
EXERCISES 1.0	EH K S ER S AY Z AH Z
EXERCISES 1.0	EH K S ER S AY Z IH Z
EXERCISING 1.0	EH K S ER S AY Z IH NG
EXERT 1.0	IH G Z ER T
EXERTED 1.0	IH G Z ER T IH D
EXERTING 1.0	IH G Z ER T IH NG
EXERTION 1.0	IH G Z ER SH AH N
EXERTIONS 1.0	IH G Z ER SH AH N Z
EXERTS 1.0	IH G Z ER T S
EXES 1.0	EH K S IH Z
EXETER 1.0	EH K S IH T ER
EXHALATION 1.0	EH K S HH AH L EY SH AH N
EXHALE 1.0	EH K S HH EY L
EXHALED 1.0	EH K S HH EY L D
EXHAUST 1.0	IH G Z AO S T
EXHAUSTED 1.0	IH G Z AO S T AH D
EXHAUSTED 1.0	IH G Z AO S T IH D
EXHAUSTING 1.0	IH G Z AO S T IH NG
EXHAUSTION 1.0	IH G Z AO S CH AH N
EXHAUSTIVE 1.0	IH G Z AO S T IH V
EXHAUSTIVELY 1.0	IH G Z AA S T IH V L IY
EXHAUSTS 1.0	IH G Z AO S T S
EXHIBIT 1.0	IH G Z IH B IH T
EXHIBITED 1.0	IH G Z IH B AH T AH D
EXHIBITING 1.0	IH G Z IH B IH T IH NG
EXHIBITION 1.0	EH K S AH B IH SH AH N
EXHIBITIONIST 1.0	EH K S AH B IH SH AH N IH S T
EXHIBITIONS 1.0	EH K S AH B IH SH AH N Z
EXHIBITOR 1.0	IH G Z IH B AH T ER
EXHIBITORS 1.0	IH G Z IH B AH T ER Z
EXHIBITS 1.0	IH G Z IH B AH T S
EXHILARATED 1.0	IH G Z IH L ER EY T IH D
EXHILARATING 1.0	IH G Z IH L ER EY T IH NG
EXHILARATION 1.0	IH G Z IH L ER EY SH AH N
EXHORT 1.0	IH G Z AO R T
EXHORTATION 1.0	EH G Z AO R T EY SH AH N
EXHORTATIONS 1.0	EH G Z AO R T EY SH AH N Z
EXHORTED 1.0	IH G Z AO R T IH D
EXHORTING 1.0	IH G Z AO R T IH NG
EXHUMATION 1.0	EH K S HH Y UW M EY SH AH N
EXHUMED 1.0	EH K S HH Y UW M D
EXIGENCIES 1.0	EH K S IH JH AH N S IY Z
EXILE 1.0	EH G Z AY L
EXILE 1.0	EH K S AY L
EXILED 1.0	EH G Z AY L D
EXILED 1.0	EH K S AY L D
EXILES 1.0	EH G Z AY L Z
EXILES 1.0	EH K S AY L Z
EXIST 1.0	IH G Z IH S T
EXISTED 1.0	IH G Z IH S T AH D
EXISTENCE 1.0	EH G Z IH S T AH N S
EXISTENCE 1.0	IH G Z IH S T AH N S
EXISTENT 1.0	EH G Z IH S T AH N T
EXISTENTIAL 1.0	EH G Z IH S T EH N CH AH L
EXISTENTIAL 1.0	EH G Z IH S T EH N SH AH L
EXISTING 1.0	IH G Z IH S T IH NG
EXISTS 1.0	IH G Z IH S T S
EXIT 1.0	EH G Z IH T
EXIT 1.0	EH K S AH T
EXITED 1.0	EH G Z AH T IH D
EXITING 1.0	EH G Z IH T IH NG
EXITS 1.0	EH G Z IH T S
EXITS 1.0	EH K S AH T S
EXODUS 1.0	EH K S AH D AH S
EXOGENOUS 1.0	EH K S OW JH AH N AH S
EXONERATE 1.0	IH G Z AA N ER EY T
EXONERATED 1.0	IH G Z AA N ER EY T IH D
EXORBITANT 1.0	IH G Z AO R B IH T AH N T
EXORCIST 1.0	EH K S ER S AH S T
EXOTIC 1.0	IH G Z AA T IH K
EXOTICS 1.0	EH G Z AA T IH K S
EXPAND 1.0	IH K S P AE N D
EXPANDABLE 1.0	IH K S P AE N D AH B AH L
EXPANDED 1.0	IH K S P AE N D AH D
EXPANDED 1.0	IH K S P AE N D IH D
EXPANDING 1.0	IH K S P AE N D IH NG
EXPANDS 1.0	IH K S P AE N D Z
EXPANSE 1.0	IH K S P AE N S
EXPANSES 1.0	IH K S P AE N S IH Z
EXPANSION 1.0	IH K S P AE N CH AH N
EXPANSION 1.0	IH K S P AE N SH AH N
EXPANSIONIST 1.0	IH K S P AE N CH AH N IH S T
EXPANSIONIST 1.0	IH K S P AE N SH AH N IH S T
EXPANSIONS 1.0	IH K S P AE N CH AH N Z
EXPANSIONS 1.0	IH K S P AE N SH AH N Z
EXPANSIVE 1.0	IH K S P AE N S IH V
EXPATRIATE 1.0	EH K S P EY T R IY AH T
EXPATRIATE 1.0	EH K S P EY T R IY EY T
EXPATRIATES 1.0	EH K S P EY T R IY AH T S
EXPATRIATES 1.0	EH K S P EY T R IY EY T S
EXPECT 1.0	IH K S P EH K T
EXPECTANCY 1.0	IH K S P EH K T AH N S IY
EXPECTANT 1.0	IH K S P EH K T AH N T
EXPECTATION 1.0	EH K S P EH K T EY SH AH N
EXPECTATIONS 1.0	EH K S P EH K T EY SH AH N Z
EXPECTED 1.0	IH K S P EH K T AH D
EXPECTED 1.0	IH K S P EH K T IH D
EXPECTING 1.0	IH K S P EH K T IH NG
EXPECTS 1.0	IH K S P EH K S
EXPECTS 1.0	IH K S P EH K T S
EXPEDIA 1.0	EH K S P IY D IY AH
EXPEDIENCY 1.0	IH K S P IY D IY AH N S IY
EXPEDIENT 1.0	IH K S P IY D IY AH N T
EXPEDITE 1.0	EH K S P IH D AY T
EXPEDITED 1.0	EH K S P IH D AY T IH D
EXPEDITING 1.0	EH K S P AH D AY T IH NG
EXPEDITION 1.0	EH K S P AH D IH SH AH N
EXPEDITIONARY 1.0	EH K S P AH D IH SH AH N EH R IY
EXPEDITIONS 1.0	EH K S P AH D IH SH AH N Z
EXPEDITIOUS 1.0	EH K S P AH D IH SH AH S
EXPEDITIOUSLY 1.0	EH K S P AH D IH SH AH S L IY
EXPEL 1.0	IH K S P EH L
EXPELLED 1.0	IH K S P EH L D
EXPELLING 1.0	IH K S P EH L IH NG
EXPEND 1.0	IH K S P EH N D
EXPENDABLE 1.0	IH K S P EH N D AH B AH L
EXPENDED 1.0	IH K S P EH N D IH D
EXPENDING 1.0	EH K S P EH N D IH NG
EXPENDITURE 1.0	IH K S P EH N D AH CH ER
EXPENDITURE 1.0	IH K S P EH N D IH CH ER
EXPENDITURES 1.0	IH K S P EH N D AH CH ER Z
EXPENDITURES 1.0	IH K S P EH N D IH CH ER Z
EXPENSE 1.0	IH K S P EH N S
EXPENSES 1.0	IH K S P EH N S AH Z
EXPENSES 1.0	IH K S P EH N S IH Z
EXPENSIVE 1.0	IH K S P EH N S IH V
EXPENSIVELY 1.0	EH K S P EH N S IH V L IY
EXPERIENCE 1.0	IH K S P IH R IY AH N S
